Identifier,log(I),rI,log(e),pI,Mr (kDa),Description
ADO23597.1,4.8,90,-281.8,5.29,53.7,no description available
sp|K2C1_HUMAN|,4.66,48,-232.7,8.16,65.8," Keratin, type II cytoskeletal 1; 67 kDa cytokeratin; Cytokeratin-1; CK-1; Hair alpha protein; Keratin-1; K1; Type-II keratin Kb1; "
XP_010056661.1,4.77,66,-216.3,7.73,39.6,
XP_010060861.1,4.48,40,-202.1,8.74,50.1,
XP_010028333.1,4.52,38,-200,5.57,34.9,
XP_010064035.1,4.98,94,-187.8,8.93,21.6,
XP_010057806.1,4.65,58,-177.5,5.79,39.8,
XP_010056683.1,4.62,49,-171.4,8.94,37,
XP_010033105.1,4.8,55,-165.3,6.08,51.3,
sp|ALBU_BOVIN|,4.5,34,-160,5.82,69.2, Serum albumin; BSA; Bos d 6; Flags: Precursor; 
XP_010054946.1,4.39,31,-159.4,6.97,33.8,
XP_010033106.1,4.81,53,-158.5,6.84,47.7,
XP_010029195.1,4.44,41,-157.9,9.19,34,
XP_010054791.1,4.46,35,-157.3,8.36,84.8,
XP_010029196.2,4.41,39,-152.3,9.27,28.4,
XP_010050038.1,4.41,25,-152.2,5.32,47.7,
XP_010036821.1,4.48,42,-149.8,8.09,29.7,
XP_010044150.1,4.33,26,-148.9,6,59.6,
ADO23578.1,4.5,39,-148.9,5.15,55.5,no description available
XP_010066667.1,4.32,26,-146.9,6.3,60.8,
XP_010056673.1,4.61,44,-139.9,8.8,37,
XP_010032381.1,4.75,47,-139.7,5.52,51.8,
sp|K22E_HUMAN|,4.37,24,-133.7,8.07,65.8," Keratin, type II cytoskeletal 2 epidermal; Cytokeratin-2e; CK-2e; Epithelial keratin-2e; Keratin-2 epidermis; Keratin-2e; K2e; Type-II keratin Kb2; "
XP_010030182.1,4.31,25,-127.1,5.45,76,
sp|K1C10_HUMAN|,4.42,29,-126,5.13,59.5," Keratin, type I cytoskeletal 10; Cytokeratin-10; CK-10; Keratin-10; K10; "
XP_010043791.1,4.16,19,-125.4,5.16,61.2,
sp|K1C9_HUMAN|,4.37,22,-124.2,5.19,62.1," Keratin, type I cytoskeletal 9; Cytokeratin-9; CK-9; Keratin-9; K9; "
XP_010023650.1,4.2,20,-124.1,6.1,53.1,
XP_010041840.1,4.42,35,-122.5,5.86,39.4,
XP_010038336.1,4.37,26,-121.1,9.24,40.7,
XP_010035406.1,4.58,34,-119.8,5.65,43.1,
XP_018720581.1,4.18,17,-118.5,6.41,101.9,
XP_010055402.1,4.26,24,-116.4,5.56,35.2,
XP_010040050.1,4.31,26,-115.8,8.29,34.6,
XP_010041869.1,4.41,39,-112.9,6.07,29.9,
XP_010028113.1,4.34,27,-112,9.17,35.8,
XP_010054080.1,4.34,23,-111.4,8.29,28,
KCW82145.1,4.26,26,-108.9,5.68,19.8,no description available
XP_010049816.1,4.3,22,-108.9,8.05,38.4,
XP_010046462.1,4.18,18,-108.1,5.65,68.6,
XP_010030977.1,4.32,28,-105.9,5.16,71.1,
XP_010042031.1,4.26,21,-105.9,5.26,38.3,
