Identifier,log(I),rI,log(e),pI,Mr (kDa),Description
XP_010064035.1,5.1,129,-304.3,8.93,21.6,
XP_010029196.2,4.66,57,-279.5,9.27,28.4,
KCW56055.1,4.66,57,-277.3,9.43,27.8,
XP_010029195.1,4.62,54,-263.9,9.19,34,
sp|K2C1_HUMAN|,4.71,53,-251,8.16,65.8," Keratin, type II cytoskeletal 1; 67 kDa cytokeratin; Cytokeratin-1; CK-1; Hair alpha protein; Keratin-1; K1; Type-II keratin Kb1; "
sp|K22E_HUMAN|,4.59,38,-203.6,8.07,65.8," Keratin, type II cytoskeletal 2 epidermal; Cytokeratin-2e; CK-2e; Epithelial keratin-2e; Keratin-2 epidermis; Keratin-2e; K2e; Type-II keratin Kb2; "
ADO23597.1,4.59,55,-199.3,5.29,53.7,no description available
XP_010054080.1,4.55,40,-182,8.29,28,
sp|K1C10_HUMAN|,4.57,38,-178.3,5.13,59.5," Keratin, type I cytoskeletal 10; Cytokeratin-10; CK-10; Keratin-10; K10; "
XP_010056661.1,4.8,75,-168.6,7.73,39.6,
XP_010033105.1,4.54,34,-165.9,6.08,51.3,
XP_010033106.1,4.55,33,-165.3,6.84,47.7,
sp|K1C9_HUMAN|,4.58,34,-164.4,5.19,62.1," Keratin, type I cytoskeletal 9; Cytokeratin-9; CK-9; Keratin-9; K9; "
XP_010028333.1,4.33,21,-161.4,5.57,34.9,
XP_010057806.1,4.61,52,-157.2,5.79,39.8,
XP_010054946.1,4.38,29,-153.3,6.97,33.8,
XP_010056019.1,4.65,47,-152.1,6.31,16.7,
XP_010038336.1,4.28,25,-149.3,9.24,40.7,
XP_010036821.1,4.57,54,-148.4,8.09,29.7,
XP_010033825.1,4.52,40,-147.6,9,29.5,
XP_010056683.1,4.69,56,-145.2,8.94,37,
KCW82145.1,4.51,48,-142.1,5.68,19.8,no description available
sp|ALBU_BOVIN|,4.34,26,-137.5,5.82,69.2, Serum albumin; BSA; Bos d 6; Flags: Precursor; 
XP_010032381.1,4.5,27,-133.9,5.52,51.8,
XP_010049517.1,4.56,49,-131.4,6.02,21.7,
XP_010041869.1,4.43,46,-129.4,6.07,29.9,
XP_010028113.1,4.3,24,-129.4,9.17,35.8,
XP_010040050.1,4.27,24,-117.6,8.29,34.6,
XP_010029197.1,4.42,28,-117,6.98,32.8,
