Identifier,log(I),rI,log(e),pI,Mr (kDa),Description
XP_010064035.1,5.35,227,-426.4,8.93,21.6,
ADO23597.1,4.81,90,-296.1,5.29,53.7,no description available
XP_010057806.1,4.78,73,-266.4,5.79,39.8,
XP_010029196.2,4.72,65,-245,9.27,28.4,
KCW56055.1,4.7,63,-243.1,9.43,27.8,
XP_010060861.1,4.45,36,-235.2,8.74,50.1,
XP_010029195.1,4.7,62,-229.5,9.19,34,
XP_010049430.1,4.75,65,-223.5,6.02,21.7,
sp|K2C1_HUMAN|,4.68,50,-221.8,8.16,65.8," Keratin, type II cytoskeletal 1; 67 kDa cytokeratin; Cytokeratin-1; CK-1; Hair alpha protein; Keratin-1; K1; Type-II keratin Kb1; "
KCW82145.1,4.68,65,-208.6,5.68,19.8,no description available
XP_010036821.1,4.71,74,-205,8.09,29.7,
XP_010028333.1,4.4,33,-193.8,5.57,34.9,
ADO23578.1,4.45,37,-189,5.15,55.5,no description available
sp|ALBU_BOVIN|,4.59,43,-186,5.82,69.2, Serum albumin; BSA; Bos d 6; Flags: Precursor; 
XP_010033825.1,4.74,64,-183.3,9,29.5,
XP_010028113.1,4.44,34,-175.6,9.17,35.8,
XP_010056879.1,4.44,38,-175.6,5.29,28.2,
XP_010056661.1,4.84,81,-171.4,7.73,39.6,
XP_010052095.1,4.32,32,-171.2,5.28,28,
sp|K22E_HUMAN|,4.39,27,-168.1,8.07,65.8," Keratin, type II cytoskeletal 2 epidermal; Cytokeratin-2e; CK-2e; Epithelial keratin-2e; Keratin-2 epidermis; Keratin-2e; K2e; Type-II keratin Kb2; "
XP_010033106.1,4.75,50,-163.8,6.84,47.7,
XP_018728402.1,4.28,25,-162.5,5.29,28.2,
XP_010038336.1,4.38,34,-157.3,9.24,40.7,
sp|K1C10_HUMAN|,4.53,34,-156.6,5.13,59.5," Keratin, type I cytoskeletal 10; Cytokeratin-10; CK-10; Keratin-10; K10; "
XP_010033105.1,4.75,50,-155.5,6.08,51.3,
