Identifier,log(I),rI,log(e),pI,Mr (kDa),Description
XP_010064035.1,4.94,90,-269.9,8.93,21.6,
sp|K2C1_HUMAN|,4.75,58,-261.1,8.16,65.8," Keratin, type II cytoskeletal 1; 67 kDa cytokeratin; Cytokeratin-1; CK-1; Hair alpha protein; Keratin-1; K1; Type-II keratin Kb1; "
XP_010029196.2,4.57,51,-229.6,9.27,28.4,
XP_010029195.1,4.56,51,-224.4,9.19,34,
ADO23597.1,4.72,73,-211.4,5.29,53.7,no description available
sp|K22E_HUMAN|,4.39,26,-183.1,8.07,65.8," Keratin, type II cytoskeletal 2 epidermal; Cytokeratin-2e; CK-2e; Epithelial keratin-2e; Keratin-2 epidermis; Keratin-2e; K2e; Type-II keratin Kb2; "
XP_010060861.1,4.35,30,-180.3,8.74,50.1,
sp|K1C10_HUMAN|,4.59,40,-178.2,5.13,59.5," Keratin, type I cytoskeletal 10; Cytokeratin-10; CK-10; Keratin-10; K10; "
XP_010057806.1,4.57,47,-149.3,5.79,39.8,
XP_010056661.1,4.81,74,-149.1,7.73,39.6,
XP_010054080.1,4.36,25,-144.1,8.29,28,
XP_010064085.1,4.12,18,-141.2,5.82,42.2,
sp|ALBU_BOVIN|,4.53,36,-137.1,5.82,69.2, Serum albumin; BSA; Bos d 6; Flags: Precursor; 
XP_010029197.1,4.34,26,-136.2,6.98,32.8,
XP_010028333.1,4.25,23,-134.8,5.57,34.9,
XP_010028113.1,4.29,25,-133.5,9.17,35.8,
XP_010056019.1,4.41,27,-131.6,6.31,16.7,
XP_010054791.1,4.23,22,-128.1,8.36,84.8,
ADO23578.1,4.41,36,-127.4,5.15,55.5,no description available
XP_010056673.1,4.7,56,-123.7,8.8,37,
XP_010066667.1,4.22,22,-122.2,6.3,60.8,
XP_010042031.1,4.14,17,-116.9,5.26,38.3,
sp|K1C9_HUMAN|,4.39,22,-116.7,5.19,62.1," Keratin, type I cytoskeletal 9; Cytokeratin-9; CK-9; Keratin-9; K9; "
XP_010036821.1,4.58,52,-115.8,8.09,29.7,
XP_010041869.1,4.52,50,-113.9,6.07,29.9,
XP_010055403.1,4.29,23,-113.8,6.19,33.8,
KCW82145.1,4.46,45,-113.1,5.68,19.8,no description available
XP_010038336.1,4.35,29,-110.8,9.24,40.7,
XP_010049517.1,4.46,41,-109.7,6.02,21.7,
XP_010033825.1,4.48,30,-109.5,9,29.5,
XP_010054947.1,4.19,20,-109.4,6.61,33.9,
XP_010056683.1,4.63,48,-106.5,8.94,37,
XP_010028214.1,4.31,26,-100,9.11,55.3,
XP_010040050.1,4.31,22,-97.2,8.29,34.6,
XP_010055093.1,4.22,18,-95.6,6.7,51.7,
XP_018726936.1,4.37,36,-94.7,5.88,21.7,
XP_010043318.1,4.16,16,-93.3,9.87,15,
XP_010041840.1,4.18,17,-89.5,5.86,39.4,
ADO23602.1,4.15,20,-88.4,8.65,35.2,no description available
XP_010055402.1,4.04,14,-88.1,5.56,35.2,
XP_010025353.1,4.21,20,-87.9,7.02,36.6,
XP_010070634.1,4.04,13,-83.5,6.76,79.7,
XP_010065527.1,4.09,17,-83.5,6.23,84.2,
XP_010053832.1,4.17,15,-82.5,9.33,51.6,
XP_010024736.1,4.17,20,-80.8,5.49,17.4,
XP_010035773.1,4.05,12,-77.3,9.82,41.4,
XP_010056276.1,4.32,21,-75.4,5.46,43,
XP_010032381.1,4.35,17,-75,5.52,51.8,
XP_010066729.1,3.92,10,-74.9,5.93,102.2,
XP_010067877.1,4.08,12,-74.8,9.79,42.3,
XP_010059179.1,4.1,18,-74.3,9.18,52.8,
XP_010033106.1,4.35,18,-73.4,6.84,47.7,
XP_010057805.1,4,15,-73.3,7.2,40,
XP_010031829.1,3.8,11,-70.1,8.25,39.4,
XP_010060801.1,4.07,14,-69.9,9.24,40.7,
XP_010061201.1,4.08,16,-69.5,7.09,48.2,
XP_010035406.1,4.34,19,-69.4,5.65,43.1,
XP_010067614.1,4,12,-68.9,5.22,23.2,
KCW73991.1,4,14,-68.4,9,34.5,
KCW46784.1,4.34,19,-68.3,5.56,35.9,
XP_010065531.1,4.08,16,-68.1,6,84.6,
sp|TRYP_PIG|,4.56,41,-67.7,6.85,24.4, Trypsin; EC 3.4.21.4; Flags: Precursor; 
XP_010030182.1,4.01,9,-66.4,5.45,76,
ADO23614.1,4.04,12,-66.2,6.54,56,no description available
XP_010028715.1,3.79,9,-65.1,8.76,81.2,
XP_010049664.1,3.9,10,-64.9,5.55,17.3,
XP_010063732.1,4.15,17,-63.5,5.73,30.3,
ADO23598.1,4.23,23,-62.8,6.04,52.7,no description available
XP_010029105.1,3.72,7,-61.8,8.45,25.3,
XP_010030046.1,3.77,8,-61.7,9.07,32.4,
XP_010061816.1,3.98,11,-61.5,8.31,85.7,
XP_010056135.1,4.09,14,-61.5,8.83,42.7,
XP_010065833.1,4.06,13,-60.4,8.75,18.5,
XP_010037701.1,4.04,13,-60.3,5.48,30.9,
XP_018726917.1,3.74,9,-59.5,8.89,26.8,
XP_010032637.1,4.05,20,-58.9,9.1,20.2,
XP_010045004.1,3.74,9,-58.7,8.82,38.9,
XP_010025879.1,4,10,-58.3,4.67,29.3,
XP_010050038.1,4.05,12,-58.3,5.32,47.7,
XP_010070108.1,3.98,9,-58.1,8.8,46.9,
XP_010040969.1,4.07,13,-57.9,8.75,18.5,
XP_010067725.1,3.85,13,-57.9,9.27,47,
XP_010031909.1,3.74,6,-56.4,8.58,44.8,
XP_010066154.1,3.96,11,-55.1,7.81,16.8,
XP_010028338.1,3.71,7,-55.1,4.98,53.5,
XP_010056879.1,4,15,-54.7,5.29,28.2,
XP_010024738.1,3.88,10,-54.6,4.99,17.6,
XP_010052458.1,3.63,6,-54,9.66,24.6,
XP_010046462.1,3.96,10,-53.7,5.65,68.6,
ADO23587.1,4.04,13,-53.1,6.68,51.8,no description available
XP_010051873.1,3.84,8,-53.1,8.38,60.4,
XP_010037503.1,3.89,7,-52.4,6.12,53.3,
XP_010029191.1,3.98,12,-52.4,5.45,34.2,
XP_010030977.1,3.64,9,-50.8,5.16,71.1,
XP_010037848.1,3.83,9,-50.7,11.48,11.4,
XP_018732861.1,3.95,11,-50.6,6.13,63.7,
XP_010055986.1,3.69,6,-50.5,5.07,73.5,
XP_010036664.1,3.76,10,-49.5,9.94,14.7,
XP_010043791.1,3.71,7,-49.5,5.16,61.2,
XP_010067858.1,3.84,7,-49.1,9.07,39.6,
XP_010053128.1,3.73,7,-49,9.09,68.9,
XP_010051871.1,3.82,7,-48.6,8.11,60.4,
XP_010033508.2,3.89,8,-48.6,5.63,113.6,
