Identifier,log(I),rI,log(e),pI,Mr (kDa),Description
XP_010064035.1,5.32,216,-450.4,8.93,21.6,
XP_010028333.1,4.73,61,-266.4,5.57,34.9,
XP_010054080.1,4.62,42,-202.8,8.29,28,
XP_010056673.1,4.81,71,-190.6,8.8,37,
XP_010061172.1,4.36,28,-164.5,6.88,57.2,
XP_018718395.1,4.46,43,-163.4,6.52,29.3,
XP_010033105.1,4.69,46,-158.2,6.08,51.3,
sp|K2C1_HUMAN|,4.49,33,-157.5,8.16,65.8," Keratin, type II cytoskeletal 1; 67 kDa cytokeratin; Cytokeratin-1; CK-1; Hair alpha protein; Keratin-1; K1; Type-II keratin Kb1; "
XP_010033106.1,4.67,44,-147.3,6.84,47.7,
XP_010024640.1,4.38,29,-144.4,8.4,24.1,
XP_018727808.1,4.45,31,-143.7,8.52,24.2,
XP_010032381.1,4.67,42,-136.2,5.52,51.8,
XP_018731449.1,4.27,23,-135.7,6.88,57.1,
XP_010045401.1,4.42,33,-134.9,9.45,34.5,
XP_010042031.1,4.52,37,-131.8,5.26,38.3,
XP_010056683.1,4.63,51,-129.2,8.94,37,
XP_010031113.1,4.5,35,-127.8,9.01,35.3,
ADO23597.1,4.4,29,-125.7,5.29,53.7,no description available
XP_010043318.1,4.39,26,-125.7,9.87,15,
XP_018717674.1,4.19,18,-122.9,9.44,30.1,
XP_010024778.1,4.23,20,-118.5,9.17,84.9,
XP_018732456.1,4.26,19,-118,8.48,48.1,
XP_010049517.1,4.36,28,-113.9,6.02,21.7,
ADO23602.1,4.51,43,-112.3,8.65,35.2,no description available
sp|K22E_HUMAN|,4.16,15,-111.9,8.07,65.8," Keratin, type II cytoskeletal 2 epidermal; Cytokeratin-2e; CK-2e; Epithelial keratin-2e; Keratin-2 epidermis; Keratin-2e; K2e; Type-II keratin Kb2; "
KCW72656.1,4.51,43,-111.1,8.34,34.2,
XP_010056019.1,4.39,22,-110.1,6.31,16.7,
XP_010066215.1,4.17,17,-109.8,8.13,42.9,
XP_010065527.1,4.16,23,-106.8,6.23,84.2,
KCW82145.1,4.33,30,-106.5,5.68,19.8,no description available
ADO23578.1,4.04,16,-105.6,5.15,55.5,no description available
XP_010060861.1,4.04,13,-104.8,8.74,50.1,
XP_010033508.2,4.29,20,-103.4,5.63,113.6,
XP_010030714.1,4.31,27,-103.3,5.46,44.9,
XP_010027978.1,4.36,23,-101.1,8.77,57.1,
XP_010045399.1,4.29,26,-95.8,9.51,34.6,
XP_018727810.1,4.33,23,-94.1,8.26,24.2,
XP_018726936.1,4.16,21,-91.7,5.88,21.7,
sp|K1C10_HUMAN|,4.38,24,-90.9,5.13,59.5," Keratin, type I cytoskeletal 10; Cytokeratin-10; CK-10; Keratin-10; K10; "
XP_010036983.1,4.12,17,-88.7,5.43,39.4,
XP_010028214.1,4.16,19,-88.7,9.11,55.3,
sp|K1C9_HUMAN|,4.24,17,-88.6,5.19,62.1," Keratin, type I cytoskeletal 9; Cytokeratin-9; CK-9; Keratin-9; K9; "
XP_010028648.1,4.14,15,-88.2,8.13,43,
XP_010030704.1,4.19,23,-86.1,5.45,45,
XP_010066256.1,4.49,33,-85.8,8.7,18,
XP_018716770.1,3.94,11,-83.3,6.03,111.1,
XP_018727805.1,4.18,19,-83,7.36,26.2,
XP_010047451.1,3.87,10,-82.8,9.68,23.3,
KCW53179.1,4.24,18,-81.6,5.8,96.8,
XP_018719257.1,4.21,17,-78.3,5.94,121.6,
XP_010041954.1,4.19,16,-77.7,5.64,15.3,
ADO23598.1,4.28,20,-77.3,6.04,52.7,no description available
XP_010063132.2,4.05,13,-77.2,6.77,56.8,
XP_018732861.1,3.81,9,-76.6,6.13,63.7,
XP_010025755.2,4.29,19,-76.2,6.86,82.1,
XP_010063732.1,4.01,13,-74.8,5.73,30.3,
XP_018730827.1,4.05,12,-74.1,5.26,26.5,
XP_010032358.1,4.26,20,-72.9,9.37,42.4,
XP_010032637.1,4.15,21,-71.3,9.1,20.2,
XP_010056208.1,4.04,10,-69.2,6.52,45.2,
XP_010061201.1,3.97,11,-67.1,7.09,48.2,
XP_010032881.1,3.93,11,-65.7,7.92,20.9,
XP_010040215.1,4.03,11,-65.4,8.34,28.8,
XP_010024340.1,4.11,17,-64.9,6.13,76,
sp|ALBU_BOVIN|,3.9,11,-62.6,5.82,69.2, Serum albumin; BSA; Bos d 6; Flags: Precursor; 
sp|TRYP_PIG|,4.48,35,-61.9,6.85,24.4, Trypsin; EC 3.4.21.4; Flags: Precursor; 
XP_010063935.1,3.91,9,-61.8,5.82,78.7,
XP_010068511.2,4.1,16,-60.1,5.87,47.1,
XP_010066382.2,3.93,10,-58.9,7.59,27.5,
XP_010033566.1,3.96,9,-58.8,8.34,28.8,
XP_010066667.1,3.93,10,-58.7,6.3,60.8,
XP_010056879.1,3.89,11,-58.7,5.29,28.2,
XP_010041557.1,3.92,10,-58.3,6.88,33.5,
XP_010068510.2,4.23,16,-58.1,6.55,22.5,
XP_010062276.1,4.12,18,-57.6,5.78,39.2,
XP_010030046.1,3.91,9,-57.1,9.07,32.4,
XP_010032010.1,4.02,11,-55.2,6.93,92,
XP_010030961.1,4.02,12,-51.2,6.13,27.2,
XP_010036726.1,3.84,9,-50.5,6.56,38.5,
XP_010065001.1,3.95,10,-50.3,6.19,28.1,
XP_010033217.1,3.81,7,-49.8,8.78,29.3,
XP_010029375.1,3.85,8,-49,8.48,29.4,
XP_010029673.1,3.93,10,-48.1,8.77,40.8,
XP_010033825.1,3.91,9,-47.6,9,29.5,
XP_010037701.1,3.88,9,-47.2,5.48,30.9,
XP_010063308.1,4.03,11,-47.2,8.99,24.6,
XP_010066088.1,4.19,17,-46.8,6.64,49.8,
XP_010067582.1,3.9,9,-46.7,9.49,34.5,
XP_010061415.1,3.98,9,-46.6,6.78,38.2,
XP_010045878.1,3.8,10,-46.1,5.46,28.6,
XP_010053426.1,3.98,8,-45.5,5.85,65.1,
XP_010024830.1,3.74,8,-45.1,7.23,53.3,
KCW56875.1,4.01,15,-43.8,9.14,27.8,
XP_010028899.1,3.9,12,-43.8,8.45,42.8,
XP_010036097.1,3.95,9,-43.7,8.67,29.2,
XP_010051417.1,3.66,7,-43,5.03,17.2,
XP_010028715.1,3.92,9,-42.2,8.76,81.2,
XP_010057104.1,4.08,10,-41.6,5.54,57.5,
XP_010049816.1,3.85,9,-41.5,8.05,38.4,
XP_010035248.1,3.66,6,-41.2,9.73,23.2,
XP_010063408.1,3.56,4,-41.1,8.13,44.9,
XP_010066639.1,3.74,7,-41.1,6.43,64.9,
XP_010045302.1,3.79,6,-40.8,6.09,22.3,
XP_010066951.1,3.56,6,-40.3,7.02,29.6,
XP_018716398.1,3.75,6,-40.3,6.81,23.8,
XP_010028930.1,3.68,6,-40.1,8.77,30.5,
XP_010059917.1,3.72,6,-39.3,6.32,81.9,
XP_018715447.1,3.85,10,-38.9,8.87,23.3,
XP_010032624.1,3.63,5,-38.1,4.76,29.7,
XP_010069685.1,3.53,4,-37.8,9.82,14.4,
XP_010052188.1,4.19,14,-37.6,4.87,57.4,
XP_010047472.1,3.87,9,-36.9,6.75,37.6,
XP_010050038.1,3.63,5,-36.8,5.32,47.7,
