Identifier,log(I),rI,log(e),pI,Mr (kDa),Description
XP_010064035.1,5.17,155,-422.8,8.93,21.6,
XP_010028333.1,4.66,58,-269.2,5.57,34.9,
sp|K2C1_HUMAN|,4.81,72,-255.8,8.16,65.8," Keratin, type II cytoskeletal 1; 67 kDa cytokeratin; Cytokeratin-1; CK-1; Hair alpha protein; Keratin-1; K1; Type-II keratin Kb1; "
XP_010033105.1,4.65,41,-187.6,6.08,51.3,
XP_010061172.1,4.5,40,-179.1,6.88,57.2,
XP_010042031.1,4.54,42,-174,5.26,38.3,
XP_010033106.1,4.64,39,-170.5,6.84,47.7,
XP_010054080.1,4.63,47,-158.8,8.29,28,
XP_010032381.1,4.58,34,-157.6,5.52,51.8,
XP_018731449.1,4.41,33,-154.3,6.88,57.1,
XP_010056673.1,4.74,59,-151.5,8.8,37,
ADO23597.1,4.29,28,-146.4,5.29,53.7,no description available
sp|K1C9_HUMAN|,4.7,52,-144.8,5.19,62.1," Keratin, type I cytoskeletal 9; Cytokeratin-9; CK-9; Keratin-9; K9; "
XP_010049517.1,4.11,18,-129.7,6.02,21.7,
KCW82145.1,4.25,23,-126.7,5.68,19.8,no description available
sp|K1C10_HUMAN|,4.59,34,-112.1,5.13,59.5," Keratin, type I cytoskeletal 10; Cytokeratin-10; CK-10; Keratin-10; K10; "
XP_010045401.1,4.32,26,-108,9.45,34.5,
XP_010031113.1,4.32,24,-102.4,9.01,35.3,
XP_018732456.1,4.12,18,-94.3,8.48,48.1,
XP_010032358.1,3.95,13,-85,9.37,42.4,
XP_010045399.1,4.16,17,-83.4,9.51,34.6,
XP_010056683.1,4.45,32,-79.1,8.94,37,
ADO23602.1,4.11,18,-77.7,8.65,35.2,no description available
XP_010030714.1,4.06,19,-77.3,5.46,44.9,
XP_010024778.1,3.99,12,-75.5,9.17,84.9,
sp|K22E_HUMAN|,4.2,16,-72.2,8.07,65.8," Keratin, type II cytoskeletal 2 epidermal; Cytokeratin-2e; CK-2e; Epithelial keratin-2e; Keratin-2 epidermis; Keratin-2e; K2e; Type-II keratin Kb2; "
XP_010033508.2,3.92,10,-71.1,5.63,113.6,
