Identifier,log(I),rI,log(e),pI,Mr (kDa),Description
XP_010028333.1,4.79,70,-379.2,5.57,34.9,
XP_010064035.1,5.29,195,-369.6,8.93,21.6,
XP_010033106.1,4.86,61,-252.5,6.84,47.7,
XP_010033105.1,4.82,57,-251.8,6.08,51.3,
ADO23597.1,4.67,62,-223.3,5.29,53.7,no description available
XP_010032381.1,4.82,55,-211.7,5.52,51.8,
XP_010056673.1,4.57,44,-191.4,8.8,37,
sp|K2C1_HUMAN|,4.66,44,-188.2,8.16,65.8," Keratin, type II cytoskeletal 1; 67 kDa cytokeratin; Cytokeratin-1; CK-1; Hair alpha protein; Keratin-1; K1; Type-II keratin Kb1; "
XP_010054080.1,4.76,63,-184.2,8.29,28,
XP_010042031.1,4.51,37,-170.5,5.26,38.3,
XP_018718395.1,4.53,48,-164.2,6.52,29.3,
ADO23598.1,4.63,49,-155,6.04,52.7,no description available
XP_010042319.2,4.66,40,-147.3,7.47,52.8,
XP_010024778.1,4.3,21,-146,9.17,84.9,
XP_010056683.1,4.44,34,-142.9,8.94,37,
sp|K1C10_HUMAN|,4.39,23,-136.7,5.13,59.5," Keratin, type I cytoskeletal 10; Cytokeratin-10; CK-10; Keratin-10; K10; "
ADO23578.1,4.37,31,-131.7,5.15,55.5,no description available
XP_010030714.1,4.38,34,-130.6,5.46,44.9,
XP_010045401.1,4.4,29,-126.1,9.45,34.5,
XP_010032358.1,4.27,23,-124.7,9.37,42.4,
XP_010031113.1,4.38,26,-124.6,9.01,35.3,
XP_010024640.1,4.39,25,-124.1,8.4,24.1,
XP_010060861.1,4.13,17,-120.3,8.74,50.1,
XP_018727808.1,4.47,31,-118.5,8.52,24.2,
XP_010043318.1,4.28,18,-116.7,9.87,15,
XP_010061172.1,4.26,22,-115.7,6.88,57.2,
ADO23602.1,4.25,25,-109.8,8.65,35.2,no description available
XP_010061201.1,4.29,22,-103.8,7.09,48.2,
XP_018731449.1,4.23,20,-102.5,6.88,57.1,
XP_010028899.1,4.2,19,-100,8.45,42.8,
XP_010060801.1,4.22,16,-99.5,9.24,40.7,
XP_010061415.1,4.22,17,-98.3,6.78,38.2,
XP_010066667.1,4.18,17,-96.7,6.3,60.8,
XP_010045407.1,4.32,23,-96.5,9.51,34.6,
XP_010036983.1,4.1,14,-96.3,5.43,39.4,
XP_010030704.1,4.31,28,-95.6,5.45,45,
XP_010028214.1,4.27,21,-92.8,9.11,55.3,
XP_010032637.1,4.41,39,-92.2,9.1,20.2,
XP_010024830.1,3.97,11,-85.8,7.23,53.3,
XP_010065527.1,3.91,13,-84.5,6.23,84.2,
XP_010056879.1,4.07,17,-84,5.29,28.2,
XP_010066215.1,3.98,13,-83,8.13,42.9,
XP_010066256.1,4.41,29,-81.4,8.7,18,
XP_010062276.1,4.01,14,-77.7,5.78,39.2,
XP_010027978.1,4.16,19,-77.7,8.77,57.1,
XP_010051417.1,4.33,26,-74.8,5.03,17.2,
XP_010063132.2,4.02,15,-74.7,6.77,56.8,
XP_010063732.1,4.24,21,-73.5,5.73,30.3,
XP_018732456.1,4.21,21,-72.2,8.48,48.1,
XP_010032010.1,4.14,14,-71.6,6.93,92,
XP_010056208.1,4.04,11,-70.7,6.52,45.2,
XP_010052095.1,3.91,11,-70.6,5.28,28,
XP_010056019.1,4.28,20,-70.3,6.31,16.7,
XP_010027699.1,4.07,12,-70.1,5.31,41.7,
XP_010057920.1,4.05,11,-69.8,6.12,40.8,
sp|K1C9_HUMAN|,4.28,14,-67.8,5.19,62.1," Keratin, type I cytoskeletal 9; Cytokeratin-9; CK-9; Keratin-9; K9; "
XP_010050038.1,4,10,-67.6,5.32,47.7,
XP_010061009.1,3.95,9,-67.4,5.5,39.9,
XP_010049517.1,4.27,23,-67,6.02,21.7,
XP_010050725.1,4.29,25,-66.7,4.93,17.3,
sp|K22E_HUMAN|,4.08,11,-66.4,8.07,65.8," Keratin, type II cytoskeletal 2 epidermal; Cytokeratin-2e; CK-2e; Epithelial keratin-2e; Keratin-2 epidermis; Keratin-2e; K2e; Type-II keratin Kb2; "
KCW82145.1,4.13,22,-66.1,5.68,19.8,no description available
XP_010037701.1,3.86,10,-61.1,5.48,30.9,
XP_018715447.1,3.96,12,-60.9,8.87,23.3,
XP_010033217.1,3.85,9,-60,8.78,29.3,
XP_010047451.1,3.89,8,-59.5,9.68,23.3,
XP_010025755.2,3.99,9,-58,6.86,82.1,
XP_010040215.1,3.97,10,-56.8,8.34,28.8,
XP_010045506.1,4.02,12,-56.4,8.75,28.2,
XP_010068510.2,4.23,17,-56.2,6.55,22.5,
XP_010023565.1,4,10,-55.6,9.17,41.8,
XP_010033508.2,3.92,9,-55.2,5.63,113.6,
XP_010064085.1,3.74,7,-54.6,5.82,42.2,
XP_018727805.1,4.07,12,-54.6,7.36,26.2,
sp|TRYP_PIG|,4.41,28,-53.3,6.85,24.4, Trypsin; EC 3.4.21.4; Flags: Precursor; 
XP_010035248.1,3.83,9,-53,9.73,23.2,
XP_010036097.1,3.94,11,-51.7,8.67,29.2,
XP_010026741.1,3.64,6,-50.5,6.34,36.7,
XP_010028715.1,3.74,7,-50.5,8.76,81.2,
XP_010025353.1,3.68,6,-50.5,7.02,36.6,
XP_010025114.1,3.85,9,-50,5.76,15.2,
XP_018717674.1,3.98,11,-49.7,9.44,30.1,
XP_010068511.2,4.05,14,-49.5,5.87,47.1,
XP_018732461.1,4.08,15,-48.2,6.32,50.8,
XP_010030975.1,3.64,6,-48.1,5.13,71.2,
XP_010029375.1,3.8,7,-47.9,8.48,29.4,
XP_010030657.1,4.07,15,-47.7,8.41,32.2,
XP_010045302.1,3.88,7,-46.2,6.09,22.3,
XP_010030182.1,3.73,7,-44.6,5.45,76,
XP_010032055.1,3.89,8,-43.8,6.08,27.3,
XP_010030977.1,3.68,6,-43,5.16,71.1,
XP_010055735.1,4.05,12,-42.4,4.46,29.4,
XP_018717197.1,3.91,9,-42.2,8.47,37.4,
XP_018716770.1,3.77,6,-41.6,6.03,111.1,
XP_010033863.1,3.63,6,-41.6,9.95,15,
XP_010066265.1,3.99,10,-40.8,6.29,18.8,
XP_010036726.1,3.6,5,-40.8,6.56,38.5,
XP_018732861.1,3.78,6,-40.5,6.13,63.7,
XP_018732042.1,3.75,5,-39.6,6.78,15.7,
XP_010043791.1,3.97,9,-39,5.16,61.2,
KCW45190.1,3.73,6,-38.8,6.52,22.2,
XP_010067511.1,3.51,5,-38.1,5.04,34.3,
XP_018731179.1,3.67,5,-37.6,5.35,82.7,
XP_010035276.1,3.78,9,-37.6,9.68,24.5,
XP_010045878.1,3.88,9,-37.4,5.46,28.6,
XP_010033825.1,4.01,10,-37.1,9,29.5,
XP_010037305.1,3.63,6,-36.4,7.67,30,
XP_010049816.1,3.49,4,-35.8,8.05,38.4,
XP_010042063.1,3.8,5,-35.2,8.95,44.4,
XP_010063513.1,3.96,10,-34.2,9.14,39.8,
XP_010041954.1,4.05,10,-34,5.64,15.3,
XP_010044556.1,3.73,7,-33.8,8.52,42.6,
ADO23587.1,3.8,6,-33.4,6.68,51.8,no description available
XP_010024738.1,3.69,5,-32.9,4.99,17.6,
XP_010046344.2,3.88,9,-32.7,6.97,19.3,
XP_010024340.1,3.64,5,-32.4,6.13,76,
XP_010053589.1,3.94,11,-31.8,5.04,17.3,
ADO23614.1,3.79,6,-31.7,6.54,56,no description available
XP_010040604.2,3.67,6,-31.7,5.1,28.9,
XP_010051063.1,3.8,8,-31.4,4.93,17.2,
XP_010035998.1,3.49,5,-31.2,9.3,11.7,
XP_010027650.1,3.55,4,-31.1,9.01,17.9,
XP_010055809.1,3.73,6,-31,8.69,21.1,
XP_010049454.2,3.66,4,-30.9,5.64,94.2,
XP_010041934.1,3.66,5,-30.9,5.22,70.5,
XP_018730827.1,3.8,7,-30.8,5.26,26.5,
XP_010053907.1,3.55,4,-30.8,6.29,80.2,
sp|ALBU_BOVIN|,3.79,7,-30.7,5.82,69.2, Serum albumin; BSA; Bos d 6; Flags: Precursor; 
XP_018716024.1,3.62,5,-30.2,8.47,13.5,
XP_018717371.1,3.81,8,-30.1,6.01,45.2,
KCW53184.1,3.36,4,-30.1,5.65,110.8,
XP_010066154.1,3.86,8,-29.5,7.81,16.8,
ADO23574.1,3.83,6,-29.1,5.13,38.9,no description available
XP_010023477.1,3.64,5,-28.8,6.57,53.4,
