Identifier,log(I),rI,log(e),pI,Mr (kDa),Description
XP_010028333.1,4.79,75,-371.1,5.57,34.9,
XP_010064035.1,5.13,133,-306.6,8.93,21.6,
sp|K2C1_HUMAN|,4.75,57,-293.7,8.16,65.8," Keratin, type II cytoskeletal 1; 67 kDa cytokeratin; Cytokeratin-1; CK-1; Hair alpha protein; Keratin-1; K1; Type-II keratin Kb1; "
XP_010033105.1,4.83,67,-259.8,6.08,51.3,
XP_010033106.1,4.82,66,-247.2,6.84,47.7,
sp|K1C10_HUMAN|,4.66,46,-229.5,5.13,59.5," Keratin, type I cytoskeletal 10; Cytokeratin-10; CK-10; Keratin-10; K10; "
XP_010032381.1,4.81,61,-206,5.52,51.8,
XP_010063835.1,4.64,46,-200.4,5.43,38.2,
XP_010042031.1,4.62,46,-200,5.26,38.3,
XP_010054080.1,4.61,45,-180.8,8.29,28,
XP_010031113.1,4.47,36,-170.1,9.01,35.3,
ADO23597.1,4.53,41,-141.2,5.29,53.7,no description available
XP_010056673.1,4.61,43,-137.7,8.8,37,
XP_010045401.1,4.42,28,-132.3,9.45,34.5,
XP_010061172.1,4.37,30,-130.8,6.88,57.2,
ADO23598.1,4.5,31,-130.7,6.04,52.7,no description available
XP_018731449.1,4.32,27,-117.5,6.88,57.1,
ADO23602.1,4.36,26,-115.8,8.65,35.2,no description available
sp|K22E_HUMAN|,4.31,21,-115.5,8.07,65.8," Keratin, type II cytoskeletal 2 epidermal; Cytokeratin-2e; CK-2e; Epithelial keratin-2e; Keratin-2 epidermis; Keratin-2e; K2e; Type-II keratin Kb2; "
XP_010061201.1,4.4,23,-115.3,7.09,48.2,
XP_010045399.1,4.27,23,-112.7,9.51,34.6,
XP_010056683.1,4.39,30,-110.1,8.94,37,
XP_018727808.1,4.44,28,-109.3,8.52,24.2,
XP_010032358.1,4.36,25,-109.1,9.37,42.4,
XP_010024640.1,4.37,26,-108.7,8.4,24.1,
XP_010033508.2,4.34,23,-107.5,5.63,113.6,
XP_010043318.1,4.25,20,-103.8,9.87,15,
XP_010030975.1,4.08,14,-102.9,5.13,71.2,
XP_018718395.1,4.32,30,-101.2,6.52,29.3,
XP_010030977.1,4.05,14,-100.3,5.16,71.1,
XP_010028214.1,4.14,19,-94.2,9.11,55.3,
XP_010044150.1,4.21,18,-93.4,6,59.6,
XP_010066215.1,3.9,13,-84.8,8.13,42.9,
XP_010027978.1,4.12,16,-83.3,8.77,57.1,
XP_010066256.1,4.57,40,-81.1,8.7,18,
XP_010028648.1,3.93,13,-79.8,8.13,43,
XP_010032637.1,4.22,27,-79.4,9.1,20.2,
XP_010049517.1,4.05,15,-78.4,6.02,21.7,
ADO23578.1,4.01,13,-77,5.15,55.5,no description available
XP_010024340.1,4.02,13,-76.4,6.13,76,
XP_010027699.1,3.93,9,-73.3,5.31,41.7,
XP_010024778.1,3.97,13,-72.8,9.17,84.9,
XP_010065527.1,3.87,10,-72.3,6.23,84.2,
XP_010024830.1,3.93,10,-71.2,7.23,53.3,
XP_010051417.1,4.21,19,-69.9,5.03,17.2,
XP_010056208.1,4.18,16,-69.9,6.52,45.2,
XP_010060861.1,4.01,12,-67.9,8.74,50.1,
XP_010024738.1,4.06,11,-67.8,4.99,17.6,
KCW82145.1,4.05,17,-67.1,5.68,19.8,no description available
XP_010040215.1,4.01,13,-66.7,8.34,28.8,
XP_010033217.1,4.19,14,-66.2,8.78,29.3,
XP_018726936.1,3.96,13,-64.9,5.88,21.7,
XP_010047472.1,4.1,12,-63.5,6.75,37.6,
XP_010029673.1,4.26,18,-63,8.77,40.8,
XP_010025755.2,4.14,15,-61,6.86,82.1,
XP_018731179.1,3.88,9,-60,5.35,82.7,
sp|K1C9_HUMAN|,4.2,12,-59.8,5.19,62.1," Keratin, type I cytoskeletal 9; Cytokeratin-9; CK-9; Keratin-9; K9; "
XP_010028899.1,3.9,10,-59.5,8.45,42.8,
XP_010036726.1,4.02,10,-58.7,6.56,38.5,
XP_010055986.1,3.81,9,-58,5.07,73.5,
XP_010061415.1,4.15,14,-56.7,6.78,38.2,
XP_010035276.1,3.73,7,-56.2,9.68,24.5,
XP_018732456.1,4.13,17,-55,8.48,48.1,
XP_010036983.1,4.02,11,-54.2,5.43,39.4,
XP_010041557.1,3.86,9,-54.1,6.88,33.5,
XP_010068511.2,4.07,14,-54,5.87,47.1,
XP_010063732.1,3.99,9,-53.5,5.73,30.3,
XP_010053313.1,3.88,10,-53.5,8.63,24.2,
XP_010049816.1,3.93,8,-53,8.05,38.4,
XP_010062276.1,3.99,10,-51.4,5.78,39.2,
XP_010045506.1,4,11,-51.4,8.75,28.2,
XP_018717197.1,3.8,7,-51.2,8.47,37.4,
XP_010056879.1,4.03,14,-50.9,5.29,28.2,
XP_010050038.1,3.83,8,-50.9,5.32,47.7,
XP_010033825.1,4.09,13,-49.6,9,29.5,
XP_010059895.1,3.9,9,-49.3,5.63,51.8,
XP_018727463.1,3.57,4,-48.6,6.21,23.3,
XP_010042063.1,3.72,7,-48.4,8.95,44.4,
XP_010030961.1,3.88,8,-48.1,6.13,27.2,
XP_010045302.1,3.98,10,-47.8,6.09,22.3,
XP_010056019.1,3.88,9,-46.6,6.31,16.7,
XP_010063132.2,3.82,9,-45.9,6.77,56.8,
XP_010030714.1,4.17,23,-45.5,5.46,44.9,
XP_010057104.1,4.22,14,-44.9,5.54,57.5,
XP_010033712.1,3.8,8,-44.3,8.91,29,
XP_010025353.1,3.8,6,-44.1,7.02,36.6,
XP_010053426.1,3.57,5,-42.2,5.85,65.1,
